in:0 out:0 type:1 q:643 itex:183431 ptex:0 mv:0 misc:23278 fcode:1 bcode:1 mc-var:0 var:615036 icount:3969 skipcount:0 hbits:107;
in:1 out:1 type:2 q:236 itex:23176 ptex:190381 mv:9582 misc:20670 fcode:1 bcode:1 mc-var:319156 var:610417 icount:304 skipcount:1337 hbits:55;
in:2 out:2 type:2 q:236 itex:12670 ptex:139989 mv:9933 misc:12577 fcode:1 bcode:1 mc-var:311304 var:600545 icount:148 skipcount:2379 hbits:55;
in:3 out:3 type:2 q:236 itex:8234 ptex:140038 mv:9247 misc:11738 fcode:1 bcode:1 mc-var:35023 var:472831 icount:114 skipcount:2556 hbits:55;
in:4 out:4 type:2 q:459 itex:3396 ptex:50290 mv:9723 misc:10312 fcode:1 bcode:1 mc-var:26184 var:484550 icount:79 skipcount:2624 hbits:55;
in:5 out:5 type:2 q:746 itex:1295 ptex:24722 mv:9467 misc:9509 fcode:1 bcode:1 mc-var:26299 var:464663 icount:37 skipcount:2694 hbits:55;
in:6 out:6 type:2 q:1063 itex:638 ptex:12298 mv:8730 misc:8871 fcode:1 bcode:1 mc-var:27106 var:447725 icount:28 skipcount:2754 hbits:55;
in:7 out:7 type:2 q:1396 itex:532 ptex:8269 mv:8127 misc:8473 fcode:1 bcode:1 mc-var:33675 var:433586 icount:28 skipcount:2827 hbits:55;
in:8 out:8 type:2 q:1738 itex:934 ptex:5248 mv:7878 misc:8181 fcode:1 bcode:1 mc-var:35598 var:422750 icount:29 skipcount:2859 hbits:55;
in:9 out:9 type:2 q:2085 itex:1180 ptex:3754 mv:7145 misc:7866 fcode:1 bcode:1 mc-var:40872 var:412155 icount:32 skipcount:2921 hbits:55;
in:10 out:10 type:2 q:2436 itex:1735 ptex:2563 mv:6962 misc:7749 fcode:1 bcode:1 mc-var:47509 var:410843 icount:38 skipcount:2940 hbits:55;
in:11 out:11 type:2 q:2788 itex:1724 ptex:2000 mv:6276 misc:7457 fcode:1 bcode:1 mc-var:48617 var:404338 icount:36 skipcount:3013 hbits:55;
in:12 out:12 type:2 q:3141 itex:1475 ptex:1381 mv:6119 misc:7322 fcode:1 bcode:1 mc-var:54338 var:396826 icount:36 skipcount:3038 hbits:55;
in:13 out:13 type:2 q:3494 itex:1391 ptex:1484 mv:5688 misc:7174 fcode:1 bcode:1 mc-var:58939 var:383444 icount:38 skipcount:3102 hbits:55;
in:14 out:14 type:2 q:3658 itex:1627 ptex:1435 mv:5235 misc:7152 fcode:1 bcode:1 mc-var:70434 var:375373 icount:50 skipcount:3125 hbits:55;
in:15 out:15 type:2 q:3658 itex:1457 ptex:1822 mv:5079 misc:7115 fcode:1 bcode:1 mc-var:74571 var:365019 icount:46 skipcount:3163 hbits:55;
in:16 out:16 type:2 q:3658 itex:348 ptex:1796 mv:5294 misc:6947 fcode:2 bcode:1 mc-var:70154 var:359421 icount:20 skipcount:3158 hbits:55;
in:17 out:17 type:2 q:3658 itex:370 ptex:1890 mv:4944 misc:6765 fcode:2 bcode:1 mc-var:71083 var:351821 icount:17 skipcount:3205 hbits:55;
in:18 out:18 type:2 q:3658 itex:606 ptex:1650 mv:4779 misc:6734 fcode:2 bcode:1 mc-var:75062 var:332165 icount:29 skipcount:3232 hbits:55;
in:19 out:19 type:2 q:3658 itex:532 ptex:1681 mv:4837 misc:6711 fcode:2 bcode:1 mc-var:68475 var:314649 icount:25 skipcount:3246 hbits:55;
in:20 out:20 type:2 q:3658 itex:617 ptex:1644 mv:4696 misc:6700 fcode:2 bcode:1 mc-var:73476 var:302000 icount:30 skipcount:3253 hbits:55;
in:21 out:21 type:2 q:3658 itex:729 ptex:1729 mv:4529 misc:6726 fcode:2 bcode:1 mc-var:72148 var:286504 icount:37 skipcount:3263 hbits:55;
in:22 out:22 type:2 q:3658 itex:506 ptex:1552 mv:4552 misc:6607 fcode:2 bcode:1 mc-var:65944 var:270454 icount:25 skipcount:3274 hbits:55;
in:23 out:23 type:2 q:3658 itex:391 ptex:1450 mv:4397 misc:6499 fcode:2 bcode:1 mc-var:63942 var:269703 icount:19 skipcount:3280 hbits:55;
in:24 out:24 type:2 q:3658 itex:554 ptex:1229 mv:4487 misc:6515 fcode:2 bcode:1 mc-var:61723 var:265355 icount:30 skipcount:3291 hbits:55;
in:25 out:25 type:2 q:3658 itex:475 ptex:1178 mv:4188 misc:6399 fcode:2 bcode:1 mc-var:58654 var:256729 icount:28 skipcount:3319 hbits:56;
in:26 out:26 type:2 q:3658 itex:486 ptex:1137 mv:4608 misc:6450 fcode:2 bcode:1 mc-var:56945 var:245217 icount:26 skipcount:3296 hbits:55;
in:27 out:27 type:2 q:3658 itex:451 ptex:1284 mv:4302 misc:6556 fcode:2 bcode:1 mc-var:56984 var:238678 icount:27 skipcount:3274 hbits:55;
in:28 out:28 type:2 q:3658 itex:551 ptex:1077 mv:4139 misc:6474 fcode:2 bcode:1 mc-var:54401 var:232147 icount:31 skipcount:3292 hbits:55;
in:29 out:29 type:2 q:3658 itex:645 ptex:983 mv:3933 misc:6408 fcode:2 bcode:1 mc-var:54615 var:230094 icount:37 skipcount:3325 hbits:55;
in:30 out:30 type:2 q:3658 itex:460 ptex:951 mv:3740 misc:6178 fcode:2 bcode:1 mc-var:56178 var:232103 icount:20 skipcount:3366 hbits:55;
in:31 out:31 type:2 q:3658 itex:524 ptex:1449 mv:3970 misc:6442 fcode:2 bcode:1 mc-var:59555 var:230235 icount:31 skipcount:3336 hbits:55;
in:32 out:32 type:2 q:3658 itex:545 ptex:1450 mv:3918 misc:6384 fcode:2 bcode:1 mc-var:60981 var:230166 icount:33 skipcount:3347 hbits:55;
in:33 out:33 type:2 q:3658 itex:798 ptex:1663 mv:3744 misc:6492 fcode:2 bcode:1 mc-var:65475 var:234451 icount:43 skipcount:3349 hbits:55;
in:34 out:34 type:2 q:3658 itex:668 ptex:1492 mv:3967 misc:6474 fcode:2 bcode:1 mc-var:66447 var:236902 icount:34 skipcount:3338 hbits:55;
in:35 out:35 type:2 q:3658 itex:932 ptex:1304 mv:3878 misc:6551 fcode:2 bcode:1 mc-var:64061 var:233102 icount:52 skipcount:3342 hbits:55;
in:36 out:36 type:2 q:3658 itex:418 ptex:1252 mv:3855 misc:6316 fcode:2 bcode:1 mc-var:57433 var:227927 icount:25 skipcount:3356 hbits:55;
in:37 out:37 type:2 q:3658 itex:636 ptex:1305 mv:3812 misc:6448 fcode:2 bcode:1 mc-var:60412 var:229562 icount:33 skipcount:3329 hbits:55;
in:38 out:38 type:2 q:3658 itex:265 ptex:1193 mv:3879 misc:6256 fcode:2 bcode:1 mc-var:57094 var:234937 icount:15 skipcount:3346 hbits:55;
in:39 out:39 type:2 q:3658 itex:1280 ptex:1193 mv:3842 misc:6502 fcode:1 bcode:1 mc-var:57098 var:238574 icount:56 skipcount:3362 hbits:55;
in:40 out:40 type:2 q:3658 itex:490 ptex:1050 mv:3861 misc:6296 fcode:1 bcode:1 mc-var:58908 var:232250 icount:22 skipcount:3345 hbits:55;
in:41 out:41 type:2 q:3658 itex:573 ptex:1338 mv:3907 misc:6503 fcode:1 bcode:1 mc-var:58814 var:229349 icount:32 skipcount:3324 hbits:55;
in:42 out:42 type:2 q:3658 itex:463 ptex:1125 mv:3866 misc:6323 fcode:1 bcode:1 mc-var:55661 var:237573 icount:25 skipcount:3351 hbits:55;
in:43 out:43 type:2 q:3658 itex:609 ptex:980 mv:3964 misc:6384 fcode:1 bcode:1 mc-var:56925 var:239956 icount:31 skipcount:3337 hbits:55;
in:44 out:44 type:2 q:3658 itex:390 ptex:1073 mv:4100 misc:6230 fcode:1 bcode:1 mc-var:60215 var:246047 icount:11 skipcount:3338 hbits:55;
in:45 out:45 type:2 q:3658 itex:564 ptex:1452 mv:3938 misc:6327 fcode:1 bcode:1 mc-var:65716 var:250051 icount:28 skipcount:3354 hbits:55;
in:46 out:46 type:2 q:3658 itex:457 ptex:1409 mv:3737 misc:6190 fcode:1 bcode:1 mc-var:64310 var:267665 icount:21 skipcount:3379 hbits:55;
in:47 out:47 type:2 q:3658 itex:681 ptex:1235 mv:3755 misc:6218 fcode:1 bcode:1 mc-var:73930 var:280788 icount:33 skipcount:3394 hbits:55;
in:48 out:48 type:2 q:3658 itex:404 ptex:1122 mv:3688 misc:6155 fcode:1 bcode:1 mc-var:61322 var:281829 icount:20 skipcount:3376 hbits:55;
in:49 out:49 type:2 q:3658 itex:184 ptex:1211 mv:3656 misc:6014 fcode:1 bcode:1 mc-var:56795 var:285466 icount:11 skipcount:3411 hbits:55;
in:50 out:50 type:2 q:3658 itex:211 ptex:1212 mv:3688 misc:6057 fcode:1 bcode:1 mc-var:57685 var:295969 icount:12 skipcount:3400 hbits:56;
in:51 out:51 type:2 q:3658 itex:378 ptex:1174 mv:3663 misc:6122 fcode:1 bcode:1 mc-var:57958 var:303847 icount:22 skipcount:3399 hbits:55;
in:52 out:52 type:2 q:3658 itex:167 ptex:1244 mv:3629 misc:6009 fcode:1 bcode:1 mc-var:57079 var:307372 icount:10 skipcount:3408 hbits:55;
in:53 out:53 type:2 q:3658 itex:254 ptex:1206 mv:3618 misc:6059 fcode:1 bcode:1 mc-var:58105 var:310749 icount:15 skipcount:3414 hbits:55;
in:54 out:54 type:2 q:3658 itex:411 ptex:1297 mv:3613 misc:6176 fcode:1 bcode:1 mc-var:60724 var:305627 icount:24 skipcount:3386 hbits:55;
in:55 out:55 type:2 q:3658 itex:413 ptex:1390 mv:3606 misc:6192 fcode:1 bcode:1 mc-var:61893 var:299949 icount:24 skipcount:3389 hbits:55;
in:56 out:56 type:2 q:3658 itex:370 ptex:1354 mv:3420 misc:6129 fcode:1 bcode:1 mc-var:62953 var:300353 icount:22 skipcount:3411 hbits:55;
